"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","test_safety_and_privacy_center","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","26","test_premium_button","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","26","test_login_button","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","0","test_user_nav_bar","auto-spot-sel","2025-12-11","skipped","2025-12-11","workflows","ui","",""
"","19","test_library_header","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","304","test_create_playlist","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","20","test_download_button","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","17","test_cookies_link","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","33","test_sign_up_button","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","0","test_logout","auto-spot-sel","2025-12-11","skipped","2025-12-11","workflows","ui","",""
"","41","test_legal_link","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","137397","test_login","auto-spot-sel","2025-12-11","broken","2025-12-11","workflows","ui","",""
"","374","test_search_bar","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","18","test_accessibility_link","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","22","test_about_ads_link","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","2650","test_home_button","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","16","test_privacy_policy_link","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","0","test_create_playlist","auto-spot-sel","2025-12-11","broken","2025-12-11","workflows","ui","",""
"","22","test_install_app_button","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
"","19","test_support_button","auto-spot-sel","2025-12-11","passed","2025-12-11","elements","ui","",""
